--- output from CoordGen8
Specimen ID 	LM1_X 	LM1_Y 	LM2_X 	LM2_Y 	LM3_X 	LM3_Y 	LM4_X 	LM4_Y 	LM5_X 	LM5_Y 	LM6_X 	LM6_Y 	LM7_X 	LM7_Y 	LM8_X 	LM8_Y 	LM9_X 	LM9_Y 	LM10_X 	LM10_Y 	Centroid_Size
DIPalp14_d_1.jpg	0.070979	 0.340826	 -0.0724213	 0.338905	 0.0206917	 0.117765	 0.241393	 0.0699346	 0.0799296	 0.0683788	 0.278296	 -0.250062	 -0.0755861	 0.0630887	 -0.251403	 0.0666419	 -0.280976	 -0.264058	 -0.0109031	 -0.55142	 830.239	  
DIPalp14_d_2.jpg	0.0655149	 0.368605	 -0.0743928	 0.367098	 -0.00873853	 0.135421	 0.245914	 0.049231	 0.0672754	 0.0500542	 0.244416	 -0.275762	 -0.0812017	 0.0571954	 -0.227571	 0.0546414	 -0.22893	 -0.24022	 -0.00228666	 -0.566264	 929.24	  
DIPalp14_d_3.jpg	0.0800752	 0.344325	 -0.067581	 0.352267	 0.0166513	 0.0880775	 0.201494	 0.0760443	 0.0621985	 0.0802727	 0.258342	 -0.261066	 -0.0711862	 0.0772158	 -0.212884	 0.0814757	 -0.2895	 -0.264697	 0.0223899	 -0.573916	 832.501	  
DIPalp14_d_4.jpg	0.0730016	 0.354425	 -0.0862752	 0.354774	 0.0037206	 0.0337413	 0.237251	 0.0699007	 0.0742835	 0.071427	 0.280392	 -0.228472	 -0.0716803	 0.0842041	 -0.219933	 0.0846992	 -0.273031	 -0.255373	 -0.0177302	 -0.569326	 816.284	  
DIPalp15_d_1.jpg	0.102378	 0.355907	 -0.0883346	 0.358658	 0.0168765	 0.025711	 0.212754	 0.0907087	 0.0598885	 0.0850982	 0.238042	 -0.318551	 -0.0835731	 0.104687	 -0.252446	 0.108403	 -0.224705	 -0.282493	 0.0191201	 -0.52813	 870.346	  
DIPalp15_d_2.jpg	0.0892268	 0.343734	 -0.0957465	 0.347197	 -0.00951877	 0.0110907	 0.276498	 0.0828362	 0.097387	 0.0826304	 0.220826	 -0.293315	 -0.0801169	 0.104931	 -0.270974	 0.110876	 -0.259327	 -0.280769	 0.0317462	 -0.509212	 843.217	  
DIPalp15_d_3.jpg	0.08085	 0.370943	 -0.0739783	 0.377284	 0.00296531	 0.0565275	 0.201922	 0.0845968	 0.0688887	 0.0789015	 0.210078	 -0.305779	 -0.070802	 0.0920523	 -0.203228	 0.101191	 -0.232596	 -0.32108	 0.0158994	 -0.534637	 1077.71	  
DIPalp15_d_4.jpg	0.0950804	 0.347912	 -0.08452	 0.368589	 -0.0167339	 0.0784337	 0.229456	 0.0637497	 0.0757455	 0.0825404	 0.257749	 -0.307032	 -0.0853807	 0.0888576	 -0.231169	 0.0973108	 -0.24664	 -0.323422	 0.00641288	 -0.496939	 924.552	  
DIPalp15_d_5.jpg	0.0978158	 0.34681	 -0.107069	 0.347431	 0.00261197	 0.014818	 0.26723	 0.0875266	 0.0941857	 0.0918191	 0.244364	 -0.322418	 -0.0902864	 0.10171	 -0.25194	 0.104957	 -0.274732	 -0.314094	 0.0178202	 -0.45856	 878.591	  
DIPalp16_1_d_1.jpg	0.0824931	 0.342008	 -0.0786839	 0.345919	 0.00807291	 0.0120288	 0.223674	 0.119803	 0.0612213	 0.112588	 0.205819	 -0.308226	 -0.056841	 0.111382	 -0.23049	 0.112387	 -0.233335	 -0.289096	 0.0180701	 -0.558794	 719.922	  
DIPalp16_1_d_2.jpg	0.104271	 0.338472	 -0.0994187	 0.349175	 0.0242067	 -0.0249479	 0.259284	 0.110309	 0.0855162	 0.103674	 0.229368	 -0.275837	 -0.102268	 0.101124	 -0.270061	 0.0993375	 -0.231541	 -0.264175	 0.000642416	 -0.537132	 649.819	  
DIPalp16_1_d_3.jpg	0.118112	 0.343943	 -0.0864747	 0.350665	 0.0134643	 0.0172609	 0.231255	 0.102979	 0.0863881	 0.105702	 0.19062	 -0.316123	 -0.0961092	 0.113103	 -0.272824	 0.107664	 -0.218936	 -0.312119	 0.0345038	 -0.513075	 635.104	  
DIPalp16_1_d_4.jpg	0.0998133	 0.336425	 -0.0997739	 0.332479	 -0.00126575	 -0.0466295	 0.258882	 0.10563	 0.081612	 0.104604	 0.251259	 -0.265717	 -0.0817887	 0.119014	 -0.260422	 0.112397	 -0.252708	 -0.256069	 0.00439208	 -0.542132	 716.409	  
DIPalp16_1_d_5.jpg	0.094863	 0.358207	 -0.0765662	 0.356783	 0.0198713	 0.075937	 0.223538	 0.0831347	 0.0708971	 0.0746506	 0.245501	 -0.276042	 -0.0866456	 0.0737174	 -0.255207	 0.0785744	 -0.236603	 -0.272996	 0.000350688	 -0.551966	 647.712	  
DIPalp16_2_d_1.jpg	0.0964285	 0.315726	 -0.097546	 0.318343	 0.00018401	 -0.00662484	 0.273855	 0.108055	 0.10425	 0.113445	 0.242848	 -0.303712	 -0.101185	 0.116658	 -0.28123	 0.130354	 -0.250333	 -0.291461	 0.0127276	 -0.500782	 530.048	  
DIPalp16_2_d_2.jpg	0.105328	 0.343171	 -0.0792948	 0.34463	 0.00952785	 0.0251905	 0.260733	 0.0873428	 0.0877703	 0.0887088	 0.228589	 -0.29139	 -0.0987807	 0.0921256	 -0.297008	 0.0936912	 -0.251277	 -0.268165	 0.034412	 -0.515305	 514.546	  
DIPalp16_2_d_3.jpg	0.0819045	 0.358771	 -0.0685211	 0.362648	 -0.0136534	 0.0414589	 0.253843	 0.0880428	 0.085233	 0.0938577	 0.213697	 -0.306205	 -0.0838076	 0.0924635	 -0.259735	 0.0897782	 -0.216705	 -0.301351	 0.00774405	 -0.519464	 570.903	  
DIPalp16_2_d_4.jpg	0.0920106	 0.356155	 -0.0880631	 0.362621	 -0.0112458	 0.0295129	 0.279583	 0.0781071	 0.0946004	 0.0845257	 0.224108	 -0.282446	 -0.0903978	 0.0925807	 -0.270425	 0.0941371	 -0.219008	 -0.321037	 -0.0111622	 -0.494158	 611.098	  
DIPalp16_2_d_5.jpg	0.0964033	 0.323804	 -0.0921998	 0.331393	 0.00688289	 -0.00499967	 0.265953	 0.113542	 0.0880846	 0.117066	 0.219872	 -0.264237	 -0.0830404	 0.107604	 -0.251695	 0.114391	 -0.259119	 -0.295823	 0.00885872	 -0.542742	 550.977	  
DIPalp17_d_1.jpg	0.0644596	 0.391337	 -0.0676171	 0.395508	 -0.0164409	 0.153799	 0.20376	 0.0411002	 0.0507065	 0.0520752	 0.211361	 -0.297873	 -0.0571794	 0.0563833	 -0.183959	 0.0531596	 -0.202269	 -0.29155	 -0.00282207	 -0.553938	 703.948	  
DIPalp17_d_2.jpg	0.0824787	 0.358849	 -0.0865656	 0.358084	 0.00572584	 0.0663837	 0.218612	 0.0835576	 0.0692014	 0.0857249	 0.212455	 -0.286192	 -0.0681218	 0.0908577	 -0.223496	 0.109654	 -0.20718	 -0.297928	 -0.00310981	 -0.56899	 662.568	  
DIPalp17_d_3.jpg	0.0794839	 0.359477	 -0.0840336	 0.364175	 -0.0205879	 0.0543517	 0.245025	 0.098372	 0.0983064	 0.0993877	 0.214588	 -0.272128	 -0.0589948	 0.0752987	 -0.215861	 0.0748147	 -0.241488	 -0.309267	 -0.0164378	 -0.544482	 592.995	  
DIPalp17_d_4.jpg	0.0855248	 0.366304	 -0.0792862	 0.368746	 -0.00633904	 0.0797259	 0.238091	 0.0709558	 0.0819473	 0.0730867	 0.225029	 -0.293088	 -0.0673863	 0.0715017	 -0.2369	 0.0879985	 -0.256531	 -0.313997	 0.0158517	 -0.511234	 576.482	  
DIPalp17_d_5.jpg	0.0998727	 0.349541	 -0.0741248	 0.368287	 0.00607211	 0.0628196	 0.252642	 0.0980063	 0.094352	 0.0837908	 0.211413	 -0.293528	 -0.0882724	 0.0782023	 -0.265127	 0.07427	 -0.247886	 -0.327333	 0.0110584	 -0.494056	 526.818	  
DIPalp19_d_1.jpg	0.067083	 0.345435	 -0.0846556	 0.349957	 -0.0196482	 0.024703	 0.262812	 0.0837368	 0.0761786	 0.0769769	 0.267306	 -0.27436	 -0.0815771	 0.0916119	 -0.249363	 0.101859	 -0.222594	 -0.236138	 -0.0155429	 -0.563781	 612.766	  
DIPalp19_d_2.jpg	0.103361	 0.300221	 -0.0968551	 0.306818	 -0.0171627	 -0.0450778	 0.24899	 0.142618	 0.102101	 0.141504	 0.255839	 -0.312056	 -0.0985726	 0.134224	 -0.237336	 0.138796	 -0.265973	 -0.308755	 0.00561034	 -0.498292	 504.181	  
DIPalp19_d_3.jpg	0.101726	 0.355545	 -0.0899899	 0.364081	 0.0169351	 0.0100661	 0.251816	 0.0862595	 0.0854542	 0.0784254	 0.228775	 -0.289726	 -0.0951967	 0.0904175	 -0.279978	 0.0780451	 -0.247043	 -0.246453	 0.0274999	 -0.526661	 818.374	  
DIPalp19_d_4.jpg	0.0639199	 0.350694	 -0.0837843	 0.354244	 -0.0100383	 0.043134	 0.256838	 0.0798686	 0.0736795	 0.0884857	 0.264464	 -0.263823	 -0.0711116	 0.0817003	 -0.23771	 0.08104	 -0.227511	 -0.244077	 -0.0287461	 -0.571266	 589.001	  
DIPalp19_d_5.jpg	0.0973118	 0.35462	 -0.0795531	 0.350876	 0.0158057	 0.0278143	 0.240406	 0.0956613	 0.0815616	 0.0976793	 0.227284	 -0.325883	 -0.0852715	 0.0969093	 -0.275883	 0.0857316	 -0.250371	 -0.284901	 0.0287094	 -0.498507	 487.32	  
DIPalp20_d_1.jpg	0.0792443	 0.340806	 -0.0837799	 0.345444	 0.0178696	 -0.0299139	 0.21368	 0.124417	 0.0738509	 0.121386	 0.200655	 -0.298452	 -0.0743956	 0.13073	 -0.229002	 0.122993	 -0.196419	 -0.282094	 -0.00170266	 -0.575316	 815.592	  
